iter	RMSE
140	6.477404461
141	6.474176409
142	6.47080358
143	6.468603805
144	6.466341287
145	6.464228069
146	6.460624654
147	6.45858404
148	6.457165464
149	6.453579449
150	6.450514987
151	6.446402942
152	6.443638987
153	6.440116606
154	6.435979946
155	6.434226373
156	6.430898436
157	6.429434072
158	6.426289471
159	6.422037629
160	6.417490195
161	6.413030086
162	6.408875668
163	6.406378451
164	6.404557191
165	6.395136474
166	6.390895545
167	6.387252823
168	6.385093182
169	6.3792649
170	6.375475975
171	6.372402386
172	6.368362557
173	6.365801101
174	6.359764028
175	6.355423082
176	6.349007023
177	6.346610706
178	6.342943832
179	6.34050505
180	6.338303687
181	6.334756075
182	6.330349726
183	6.324841011
184	6.322141713
185	6.318398785
186	6.313888804
187	6.310809077
188	6.307221604
189	6.304785117
190	6.302399583
191	6.299590913
192	6.295745904
193	6.292150634
194	6.287977057
195	6.284701354
196	6.282721609
197	6.280034098
198	6.277093422
199	6.269498647
200	6.267782576
201	6.261757008
202	6.256702147
203	6.25439132
204	6.251982249
205	6.248906496
206	6.242939486
207	6.239470095
208	6.23278022
209	6.229205592
210	6.22648569
211	6.221490528
212	6.218167843
213	6.214660343
214	6.208384271
215	6.205568663
216	6.203194063
217	6.201326839
218	6.200015377
219	6.197775472
220	6.19464411
221	6.189869571
222	6.188104628
223	6.186483038
224	6.182832303
225	6.180687222
226	6.179606203
227	6.177953275
228	6.174641422
229	6.168038421
230	6.167119998
231	6.165339069
232	6.161328517
233	6.157236225
234	6.151027343
235	6.143248881
236	6.1383968
237	6.132759012
238	6.130373325
239	6.126124063
240	6.121369612
241	6.116417019
242	6.113762871
243	6.110494989
244	6.1097187
245	6.108956701
246	6.103848415
247	6.101509417
248	6.097267834
249	6.096814207
250	6.096086206
251	6.095154534
252	6.088660462
253	6.083192348
254	6.082493464
255	6.080444428
256	6.079893586
257	6.077767793
258	6.076086408
259	6.070488826
260	6.067543235
261	6.062977937
262	6.057185056
263	6.054531539
264	6.052064594
265	6.050130712
266	6.049416062
267	6.045548089
268	6.040635625
269	6.035272602
270	6.03461991
271	6.031040323
272	6.025563083
273	6.024192994
274	6.018219388
275	6.01089438
276	6.004697565
277	6.003173853
278	5.997302847
279	5.994227139
280	5.988993709
281	5.987904769
282	5.984382143
283	5.982924733
284	5.980034307
285	5.973867851
286	5.967538586
287	5.965974495
288	5.961928364
289	5.961171378
290	5.960551088
291	5.958630166
292	5.95801385
293	5.955057235
294	5.953680302
295	5.948405869
296	5.945095237
297	5.93784912
298	5.930114114
299	5.92456047
300	5.922128471
301	5.918230322
302	5.916307123
303	5.915188815
304	5.910584863
305	5.906266887
306	5.903644787
307	5.899736201
308	5.898507063
309	5.897800432
310	5.893033404
311	5.888455221
312	5.882477814
313	5.877564621
314	5.875453136
315	5.873793086
316	5.868570019
317	5.868010435
318	5.862760605
319	5.861942718
320	5.859642974
321	5.854964953
322	5.854077769
323	5.848440888
324	5.844651069
325	5.83889199
326	5.83502815
327	5.8300624
328	5.829508827
329	5.827794442
330	5.827028582
331	5.826230657
332	5.823916695
333	5.817817566
334	5.811480292
335	5.806515747
336	5.804273694
337	5.802117504
338	5.799975169
339	5.793115526
340	5.790079177
341	5.784342091
342	5.778852443
343	5.774978306
344	5.773846441
345	5.773197489
346	5.770583109
347	5.768647107
348	5.766592812
349	5.760804026
350	5.7584065
351	5.754285574
352	5.749957608
353	5.746310468
354	5.74331774
355	5.742280715
356	5.737719013
357	5.731905959
358	5.727034628
359	5.722286671
360	5.721540817
361	5.717229525
362	5.716397108
363	5.713705375
364	5.711189842
365	5.70609628
366	5.703823457
367	5.700674771
368	5.699562633
369	5.698076475
370	5.697687687
371	5.693106308
372	5.689509543
373	5.68350847
374	5.680426407
375	5.679460572
376	5.674832117
377	5.670804304
378	5.666018785
379	5.665422726
380	5.663837716
381	5.661502665
382	5.659786342
383	5.658822284
384	5.654804011
385	5.650424716
386	5.645099207
387	5.644602733
388	5.639598461
389	5.638525336
390	5.636674851
391	5.635511114
392	5.630934331
393	5.625127429
394	5.624200545
395	5.622682574
396	5.617869563
397	5.615076096
398	5.611901031
399	5.607511049
400	5.602588208
401	5.601493493
402	5.597321154
403	5.593468989
404	5.588605505
405	5.587187023
406	5.582834689
407	5.579721578
408	5.573025819
409	5.572373135
410	5.567362089
411	5.566949492
412	5.561967682
413	5.561189355
414	5.559449321
415	5.556687265
416	5.551231566
417	5.54767097
418	5.543395797
419	5.539674816
420	5.538808352
421	5.534627271
422	5.533591919
423	5.532979895
424	5.530166706
425	5.526230524
426	5.522672221
427	5.51958015
428	5.516441252
429	5.514275929
430	5.513796856
431	5.512503652
432	5.512030603
433	5.507652166
434	5.506123711
435	5.504313902
436	5.502086674
437	5.497034942
438	5.492743025
439	5.488119682
440	5.484790306
441	5.48049908
442	5.47815038
443	5.475312475
444	5.473608157
445	5.469655176
446	5.468022806
447	5.464616269
448	5.464160557
449	5.462501527
450	5.459047912
451	5.455131712
452	5.454788033
453	5.451201833
454	5.445057954
455	5.440679068
456	5.437291599
457	5.436877498
458	5.43358998
459	5.43196893
460	5.429123278
461	5.425574279
462	5.425107777
463	5.422957845
464	5.421526848
465	5.41678308
466	5.415085883
467	5.414477033
468	5.410114856
469	5.407882505
470	5.405892484
471	5.403987574
472	5.402364658
473	5.398736613
474	5.395456032
475	5.392105031
476	5.391620114
477	5.390616988
478	5.386689599
479	5.38363129
480	5.379668633
481	5.376245132
482	5.374082457
483	5.37086218
484	5.370044694
485	5.365013231
486	5.359697057
487	5.358593645
488	5.357883564
489	5.354602995
490	5.351281073
491	5.350657017
492	5.34627998
493	5.34269693
494	5.340421378
495	5.33902662
496	5.338338206
497	5.337739534
498	5.333845695
499	5.333208252
500	5.329520029
501	5.32470353
502	5.321802385
503	5.318871334
504	5.318464304
505	5.316679893
506	5.314011511
507	5.309751977
508	5.309342617
509	5.305866863
510	5.300684678
511	5.298700057
512	5.297543601
513	5.297321229
514	5.296205009
515	5.294906572
516	5.292864854
517	5.291644267
518	5.287655434
519	5.285518412
520	5.282316525
521	5.281924505
522	5.281053902
523	5.278510259
524	5.274175652
525	5.273437778
526	5.27279088
527	5.27230955
528	5.267270422
529	5.263143646
530	5.262465265
531	5.259278797
532	5.257041839
533	5.254006382
534	5.253058476
535	5.252427429
536	5.251805846
537	5.249022693
538	5.245795503
539	5.244832139
540	5.243031487
541	5.242229864
542	5.241619361
543	5.237265979
544	5.236272493
545	5.235788524
546	5.234374098
547	5.231160902
548	5.228066262
549	5.227655611
550	5.223915896
551	5.220212961
552	5.217078845
553	5.21420826
554	5.209814298
555	5.207458966
556	5.206832766
557	5.206408514
558	5.206068385
559	5.202392459
560	5.201994416
561	5.198700753
562	5.197253122
563	5.196837007
564	5.19356127
565	5.189711848
566	5.18905
567	5.186619947
568	5.186136931
569	5.184445518
570	5.182587577
571	5.181472152
572	5.178253681
573	5.174749039
574	5.173262874
575	5.172713653
576	5.169917085
577	5.167904283
578	5.166771456
579	5.164914892
580	5.162433779
581	5.161023084
582	5.160506701
583	5.159538075
584	5.156023736
585	5.153288887
586	5.151132909
587	5.148474882
588	5.143455401
589	5.140214495
590	5.138814355
591	5.137859113
592	5.135612829
593	5.134715705
594	5.131565952
595	5.128065158
596	5.127874728
597	5.124519574
598	5.121490241
599	5.11993928
600	5.117357031
601	5.116610618
602	5.114096583
603	5.112644829
604	5.110986046
605	5.10935256
606	5.10606189
607	5.105348564
608	5.103773476
609	5.101953643
610	5.099308153
611	5.096980924
612	5.093682293
613	5.090570129
614	5.090396141
615	5.086388578
616	5.085461501
617	5.083363989
618	5.083035798
619	5.082626916
620	5.07988711
621	5.079530106
622	5.078322422
623	5.075705429
624	5.072922331
625	5.070909123
626	5.06785127
627	5.064528336
628	5.063455747
629	5.061470886
630	5.061045087
631	5.060052769
632	5.057837058
633	5.05390595
634	5.053490004
635	5.051135975
636	5.04801606
637	5.046937763
638	5.046581426
639	5.043457335
640	5.039624658
641	5.03635437
642	5.033028247
643	5.029947982
644	5.029475203
645	5.028122582
646	5.024236026
647	5.021699237
648	5.021210792
649	5.018633427
650	5.017264699
651	5.016923297
652	5.015835136
653	5.015262872
654	5.014747534
655	5.011627676
656	5.007953448
657	5.004881085
658	5.004426586
659	5.001046544
660	4.999016369
661	4.99548216
662	4.992706408
663	4.990124829
664	4.987755161
665	4.985374993
666	4.983087861
667	4.979967165
668	4.97681293
669	4.975807503
670	4.975311155
671	4.974811094
672	4.972528287
673	4.969609139
674	4.968179388
675	4.967832989
676	4.966330963
677	4.963444594
678	4.963082938
679	4.962703441
680	4.960584219
681	4.959531798
682	4.95749879
683	4.95703862
684	4.952543032
685	4.948902904
686	4.945565885
687	4.944169065
688	4.943924501
689	4.941540514
690	4.939291503
691	4.935821831
692	4.935411626
693	4.935149012
694	4.932841974
695	4.930013615
696	4.928444348
697	4.925245972
698	4.922203574
699	4.920641754
700	4.919149096
701	4.915969242
702	4.914047094
703	4.912822186
704	4.909487132
705	4.908624851
706	4.904408872
707	4.904134454
708	4.901416864
709	4.897354481
710	4.896887214
711	4.893809072
712	4.891358781
713	4.888310599
714	4.888033918
715	4.886133662
716	4.885701383
717	4.883985674
718	4.883032811
719	4.880088435
720	4.87858131
721	4.876713262
722	4.874700743
723	4.87414423
724	4.873882447
725	4.872058309
726	4.869078997
727	4.86573774
728	4.865340573
729	4.863048587
730	4.860140803
731	4.858880073
732	4.858521167
733	4.857024602
734	4.855667448
735	4.854700834
736	4.85331117
737	4.850530532
738	4.848511786
739	4.848083104
740	4.847802658
741	4.846469893
742	4.84559844
743	4.84214988
744	4.840427063
745	4.83674269
746	4.836459028
747	4.83524293
748	4.831980381
749	4.831618122
750	4.829159703
751	4.825618225
752	4.825456754
753	4.824159429
754	4.822550518
755	4.821819512
756	4.819010322
757	4.816338985
758	4.813816549
759	4.811557403
760	4.810129545
761	4.809857893
762	4.807526012
763	4.803897692
764	4.802309008
765	4.799621596
766	4.797488099
767	4.794949924
768	4.794301285
769	4.793565948
770	4.790674723
771	4.789344595
772	4.786862905
773	4.785594913
774	4.783207365
775	4.781756564
776	4.779589053
777	4.776213162
778	4.776037189
779	4.773515778
780	4.771817469
781	4.769043486
782	4.76697985
783	4.764546124
784	4.763741244
785	4.76202068
786	4.759477603
787	4.759282237
788	4.75727468
789	4.755374715
790	4.751800833
791	4.749444142
792	4.74921347
793	4.746204987
794	4.74595475
795	4.744076825
796	4.743771192
797	4.743361559
798	4.740067392
799	4.738968189
800	4.736099371
801	4.735810758
802	4.734614924
803	4.733914344
804	4.732850561
805	4.731845382
806	4.731417342
807	4.729313028
808	4.729077576
809	4.726355078
810	4.723535247
811	4.723021169
812	4.720380037
813	4.718426432
814	4.71545907
815	4.714859901
816	4.71246155
817	4.709736575
818	4.706623555
819	4.706395466
820	4.704636501
821	4.704247258
822	4.704113038
823	4.703447227
824	4.70244839
825	4.702034173
826	4.699170996
827	4.697197057
828	4.696978084
829	4.694382859
830	4.69145696
831	4.689662433
832	4.687398689
833	4.685763368
834	4.685320242
835	4.68485432
836	4.682864899
837	4.682477179
838	4.681587866
839	4.679069243
840	4.678562926
841	4.675580407
842	4.673159139
843	4.672948348
844	4.670634554
845	4.668638845
846	4.668314188
847	4.666360712
848	4.665651934
849	4.663333349
850	4.660317626
851	4.657734516
852	4.656010522
853	4.655884697
854	4.653318183
855	4.651291646
856	4.647434248
857	4.64657191
858	4.643836206
859	4.640565321
860	4.640174751
861	4.638119956
862	4.636242968
863	4.63566584
864	4.633661136
865	4.63152701
866	4.629978511
867	4.628751746
868	4.627578989
869	4.62738851
870	4.627109753
871	4.625182337
872	4.622405151
873	4.619944552
874	4.618508658
875	4.616313035
876	4.614008391
877	4.611467825
878	4.607979671
879	4.606163549
880	4.605965414
881	4.603207597
882	4.601672017
883	4.600940386
884	4.598598729
885	4.59839048
886	4.598254353
887	4.595986042
888	4.593831262
889	4.593442756
890	4.591699822
891	4.590018762
892	4.589374588
893	4.587106498
894	4.585720922
895	4.585421622
896	4.585084603
897	4.583878213
898	4.581081781
899	4.579968903
900	4.577961367
901	4.576333766
902	4.576181965
903	4.575816631
904	4.575632102
905	4.575434836
906	4.573653019
907	4.571677199
908	4.570731478
909	4.567990056
910	4.566201897
911	4.565385685
912	4.563967563
913	4.561851411
914	4.561055549
915	4.559966497
916	4.557972016
917	4.557191617
918	4.555791686
919	4.555315107
920	4.553965408
921	4.550824328
922	4.550522276
923	4.550356529
924	4.549595922
925	4.548317078
926	4.545937208
927	4.545578431
928	4.543720765
929	4.541554717
930	4.54069057
931	4.538540114
932	4.537577387
933	4.535351821
934	4.534600908
935	4.53435022
936	4.531240293
937	4.530990728
938	4.528801464
939	4.52805391
940	4.525913405
941	4.525794465
942	4.525674873
943	4.523878207
944	4.522170619
945	4.520535597
946	4.519624418
947	4.518326116
948	4.518170081
949	4.517906941
950	4.517697454
951	4.51554259
952	4.514303972
953	4.512796447
954	4.510613513
955	4.507663607
956	4.505633346
957	4.504695193
958	4.50444109
959	4.502079713
960	4.501498113
961	4.500918996
962	4.500603198
963	4.498423967
964	4.496251879
965	4.494302959
966	4.494104694
967	4.492138469
968	4.490063494
969	4.488328006
970	4.485671796
971	4.484020064
972	4.482774444
973	4.481177183
974	4.479197978
975	4.478738751
976	4.478458869
977	4.476271455
978	4.474359746
979	4.473600304
980	4.471715741
981	4.470716507
982	4.470547053
983	4.468345907
984	4.465555988
985	4.465384587
986	4.463334263
987	4.462794496
988	4.461897714
989	4.461788338
990	4.460033807
991	4.459866571
992	4.459117479
993	4.456725116
994	4.454408914
995	4.452374095
996	4.45163931
997	4.450784588
998	4.450290081
999	4.448390869
